origem,destino,tipo_conexao,justificativa,peso
REC,SSA,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
REC,FOR,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
REC,NAT,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
REC,JPA,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
SSA,FOR,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
FOR,NAT,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
NAT,JPA,regional,"Conexão entre aeroportos da mesma região Nordeste",1.0
GRU,CGH,regional,"Conexão entre aeroportos da mesma região Sudeste",1.0
GRU,GIG,regional,"Conexão entre aeroportos da mesma região Sudeste",1.0
GIG,CNF,regional,"Conexão entre aeroportos da mesma região Sudeste",1.0
CNF,VIX,regional,"Conexão entre aeroportos da mesma região Sudeste",1.0
GRU,CNF,regional,"Conexão entre aeroportos da mesma região Sudeste",1.0
CWB,FLN,regional,"Conexão entre aeroportos da mesma região Sul",1.0
CWB,POA,regional,"Conexão entre aeroportos da mesma região Sul",1.0
FLN,POA,regional,"Conexão entre aeroportos da mesma região Sul",1.0
MAO,BEL,regional,"Conexão entre aeroportos da mesma região Norte",1.0
MAO,PVH,regional,"Conexão entre aeroportos da mesma região Norte",1.0
PVH,RBR,regional,"Conexão entre aeroportos da mesma região Norte",1.0
BEL,THE,inter-regional,"Conexão estratégica entre Norte e Nordeste",2.5
BSB,GYN,regional,"Conexão entre aeroportos da mesma região Centro-Oeste",1.0
REC,GRU,hub,"Conexão entre hub regional do Nordeste e hub nacional do Sudeste",2.0
SSA,BSB,hub,"Conexão entre capital regional e hub nacional em Brasília",2.0
FOR,GRU,hub,"Conexão entre aeroporto regional e hub nacional",2.0
GRU,BSB,hub,"Conexão entre dois hubs nacionais",2.0
BSB,MAO,inter-regional,"Conexão estratégica entre Centro-Oeste e Norte",2.5
BSB,CWB,inter-regional,"Conexão estratégica entre Centro-Oeste e Sul",2.5
GRU,POA,hub,"Conexão entre hub nacional e aeroporto de grande relevância no Sul",2.0
GIG,REC,hub,"Conexão entre Sudeste e Nordeste por aeroportos de alta relevância",2.0
BEL,REC,inter-regional,"Conexão estratégica entre Norte e Nordeste",2.5
MAO,GRU,hub,"Conexão entre Norte e hub nacional de São Paulo",2.0
